hour,inventory_time,inventory_tx,cm inv,unique_tx,unique_fp,unique_fn,tp_inv,tn_inv,fp_inv,fn_inv,fn_index_inv,fn_expiry_inv,FPR inv,FNR inv,Accuracy % inv,Reprocess % inv,total_tx,cm total,entry_tx,cm entry,added_tx,tp_entry,tn_entry,fp_entry,fn_entry,fn_index_entry,fn_expiry_entry,FPR Entry,FNR Entry,Accuracy % Entry,Reprocess % Entry,exit_tx,cm exit,exited_tx,block_tx,debris,tp_exit,tn_exit,fp_exit,fn_exit,fn_index_exit,fn_expiry_exit,fn_index,fn_expiry,FPR Exit,FNR Exit,Accuracy % Exit,Reprocess % Exit,FPR,FNR,Accuracy %,Reprocess %,current_mempool_tx,shadow_mempool.size(),(fp_entry-fn_entry+fp_exit-fn_exit),non_block,shadow check,debris check
1,1609462800,30009,30009,9509,0,0,13700,16309,0,0,0,0,0,0,100,0,28310,18049,9487,9487,9487,0,9487,0,0,0,0,0,0,100,0,18823,8562,8562,8563,50,8562,1,0,0,0,0,0,0,0,0,100,0,0,0,100,0,925,875,0,50,875,50
2,1609466400,58732,58732,19068,0,0,26336,32396,0,0,0,0,0,0,100,0,57383,35843,18507,18507,18507,0,18507,0,0,0,0,0,0,100,0,38876,17336,17336,17342,98,17336,6,0,0,0,0,0,0,0,0,100,0,0,0,100,0,1171,1073,0,98,1073,98
3,1609470000,84675,84675,27375,0,0,38097,46578,0,0,0,0,0,0,100,0,81814,52129,26814,26814,26814,0,26814,0,0,0,0,0,0,100,0,55000,25315,25315,25321,129,25315,6,0,0,0,0,0,0,0,0,100,0,0,0,100,0,1499,1370,0,129,1370,129
4,1609473600,108333,108333,34731,0,0,48690,59643,0,0,0,0,0,0,100,0,103037,66324,34167,34167,34167,0,34167,0,0,0,0,0,0,100,0,68870,32157,32157,32163,199,32157,6,0,0,0,0,0,0,0,0,100,0,0,0,100,0,2010,1811,0,199,1811,199
5,1609477200,131116,131116,41887,0,0,58986,72130,0,0,0,0,0,0,100,0,126081,81324,41325,41325,41325,0,41325,0,0,0,0,0,0,100,0,84756,39999,39999,40005,280,39999,6,0,0,0,0,0,0,0,0,100,0,0,0,100,0,1326,1046,0,280,1046,280
6,1609480800,153429,153429,48903,0,0,69156,84273,0,0,0,0,0,0,100,0,143395,93338,48335,48335,48335,0,48335,0,0,0,0,0,0,100,0,95060,45003,45003,45009,374,45003,6,0,0,0,0,0,0,0,0,100,0,0,0,100,0,3332,2958,0,374,2958,374
7,1609484400,179419,179419,57300,0,0,80557,98862,0,0,0,0,0,0,100,0,172089,111527,56717,56717,56717,0,56717,0,0,0,0,0,0,100,0,115372,54810,54810,54821,450,54810,11,0,0,0,0,0,0,0,0,100,0,0,0,100,0,1907,1457,0,450,1457,450
8,1609488000,207641,207641,66310,0,0,93229,114412,0,0,0,0,0,0,100,0,200799,130235,65727,65727,65726,0,65726,1,0,0,0,7.67843e-06,0,99.9992,0,135072,64508,64508,64519,564,64508,11,0,0,0,0,0,0,0,0,100,0,2.48519e-06,0,99.9997,0,1218,655,1,564,655,564
9,1609491600,240216,240216,76464,0,0,108177,132039,0,0,0,0,0,0,100,0,228206,148742,75878,75878,75877,0,75877,1,0,0,0,6.72305e-06,0,99.9993,0,152328,72864,72864,72879,647,72864,15,0,0,0,0,0,0,0,0,100,0,2.16534e-06,0,99.9998,0,3013,2367,1,647,2367,647
10,1609495200,273289,273289,86848,0,0,123116,150173,0,0,0,0,0,0,100,0,254616,167026,86252,86252,86251,0,86251,1,0,0,0,5.98709e-06,0,99.9994,0,168364,80774,80774,80790,738,80774,16,0,0,0,0,0,0,0,0,100,0,1.91906e-06,0,99.9998,0,5477,4740,1,738,4740,738
11,1609498800,308995,308995,98162,0,0,139457,169538,0,0,0,0,0,0,100,0,295274,192553,97535,97535,97534,0,97534,1,0,0,0,5.19338e-06,0,99.9995,0,197739,95018,95018,95093,856,95018,75,0,0,0,0,0,0,0,0,100,0,1.67626e-06,0,99.9998,0,2516,1661,1,856,1661,856
12,1609502400,344242,344242,109180,0,0,155477,188765,0,0,0,0,0,0,100,0,326743,213646,108551,108551,108550,0,108550,1,0,0,0,4.68064e-06,0,99.9995,0,218192,105095,105095,105181,956,105095,86,0,0,0,0,0,0,0,0,100,0,1.50833e-06,0,99.9998,0,3455,2500,1,956,2500,956
13,1609506000,380257,380257,120792,0,0,172245,208012,0,0,0,0,0,0,100,0,363810,237881,120166,120166,120165,0,120165,1,0,0,0,4.20378e-06,0,99.9996,0,243644,117715,117715,117801,1042,117715,86,0,0,0,0,0,0,0,0,100,0,1.35897e-06,0,99.9999,0,2450,1409,1,1042,1409,1042
14,1609509600,417842,417842,132838,0,0,189523,228319,0,0,0,0,0,0,100,0,401361,262552,132200,132200,132199,0,132199,1,0,0,0,3.80877e-06,0,99.9996,0,269161,130352,130352,130440,1145,130352,88,0,0,0,0,0,0,0,0,100,0,1.23343e-06,0,99.9999,0,1847,703,1,1145,703,1145
15,1609513200,458455,458455,145214,0,0,209049,249406,0,0,0,0,0,0,100,0,427904,281906,144585,144585,144584,0,144584,1,0,0,0,3.54728e-06,0,99.9996,0,283319,137321,137321,137409,1251,137321,88,0,0,0,0,0,0,0,0,100,0,1.13936e-06,0,99.9999,0,7263,6013,1,1251,6013,1251
16,1609516800,499354,499354,157945,3,0,228264,271087,3,0,0,0,6.00776e-06,0,99.9994,0,471017,309679,157308,157308,157307,0,157307,1,0,0,0,3.22915e-06,0,99.9997,0,313709,152371,152371,152459,1380,152371,88,0,0,0,0,0,0,0,0,100,0,4.16058e-06,0,99.9996,0,4936,3557,1,1380,3557,1380
17,1609520400,540893,540893,171282,3,0,247389,293501,3,0,0,0,5.54638e-06,0,99.9994,0,513268,337404,170631,170631,170630,0,170630,1,0,0,0,2.96381e-06,0,99.9997,0,342637,166773,166773,166861,1428,166773,88,0,0,0,0,0,0,0,0,100,0,3.82749e-06,0,99.9996,0,3857,2430,1,1428,2430,1428
18,1609524000,583173,583173,184641,4,0,267074,316093,6,0,0,0,1.02885e-05,0,99.999,0,557182,365614,183989,183989,183988,0,183988,1,0,0,0,2.73513e-06,0,99.9997,0,373193,181625,181624,181810,1517,181623,185,1,1,1,0,1,0,5.50585e-06,5.50585e-06,99.9995,0.000550585,7.07707e-06,8.84633e-07,99.9994,0,2364,848,1,1517,848,1517
19,1609527600,627143,627143,198426,4,0,288219,338918,6,0,0,0,9.5672e-06,0,99.999,0,598746,392935,197747,197747,197746,0,197746,1,0,0,0,2.54495e-06,0,99.9997,0,400999,195188,195187,195425,1618,195186,237,1,1,1,0,1,0,5.12327e-06,5.12327e-06,99.9995,0.000512327,6.58292e-06,8.22865e-07,99.9994,0,2559,942,1,1618,942,1618
20,1609531200,666328,666328,210746,4,0,306503,359819,6,0,0,0,9.00457e-06,0,99.9991,0,621545,410383,210083,210083,210082,0,210082,1,0,0,0,2.43675e-06,0,99.9998,0,411462,200300,200299,200537,1736,200298,237,1,1,1,0,1,0,4.99251e-06,4.99251e-06,99.9995,0.000499251,6.26463e-06,7.83079e-07,99.9995,0,9783,8048,1,1736,8048,1736
21,1609534800,705642,705642,223225,4,0,324536,381100,6,0,0,0,8.5029e-06,0,99.9991,0,667214,439271,222551,222551,222550,0,222550,1,0,0,0,2.2765e-06,0,99.9998,0,444663,216720,216719,216957,1913,216718,237,1,1,1,0,1,0,4.61425e-06,4.61425e-06,99.9995,0.000461425,5.8753e-06,7.34412e-07,99.9995,0,5831,3919,1,1913,3919,1913
22,1609538400,743423,743423,235071,4,0,341943,401474,6,0,0,0,8.07078e-06,0,99.9992,0,708907,465929,234393,234393,234392,0,234392,1,0,0,0,2.14625e-06,0,99.9998,0,474514,231536,231535,231773,2019,231534,237,1,1,1,0,1,0,4.31898e-06,4.31898e-06,99.9996,0.000431898,5.55213e-06,6.94016e-07,99.9995,0,2857,839,1,2019,839,2019
23,1609542000,778288,778288,246157,4,0,357765,420517,6,0,0,0,7.70923e-06,0,99.9992,0,738344,486033,245514,245514,245513,0,245513,1,0,0,0,2.05747e-06,0,99.9998,0,492830,240519,240518,240803,2122,240517,284,1,1,1,0,1,0,4.15768e-06,4.15768e-06,99.9996,0.000415768,5.31618e-06,6.64522e-07,99.9995,0,4995,2874,1,2122,2874,2122
24,1609545600,808904,808904,255824,4,0,371939,436959,6,0,0,0,7.41744e-06,0,99.9993,0,767548,505329,255183,255183,255182,0,255182,1,0,0,0,1.97891e-06,0,99.9998,0,512365,250146,250145,250439,2193,250144,293,1,1,1,0,1,0,3.99767e-06,3.99767e-06,99.9996,0.000399767,5.11385e-06,6.39231e-07,99.9995,0,5037,2845,1,2193,2845,2193
